,,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025, ,1981-2010 mean,1981-2010 median
,11,,6.204,5.068,4.851,5.973,5.341,5.782,5.122,6.364,5.767,,5.298,5.604,5.993,5.39,5.129,5.667,6.276,6.813,4.731,4.989,5.515,5.352,5.702,5.391,6.552,6.229,5.513,4.731,5.43,7.502,6.709,5.5,5.493,6.441,6.206,7.196,8.213,5.551,4.615,4.996,4.331,5.261,5.515,4.487,3.67,4.784,5.628,,5.697,5.515
,12,,6.12,4.937,4.681,5.857,5.182,5.621,4.976,6.141,5.636,,5.184,5.46,5.886,5.245,5.012,5.525,6.137,6.676,4.599,4.847,5.382,5.212,5.626,5.235,6.423,6.125,5.378,4.582,5.292,7.325,6.571,5.349,5.287,6.298,6.103,7.064,8.027,5.405,4.458,4.811,4.227,5.112,5.404,4.377,3.585,4.64,5.458,,5.557,5.382
,13,,6.045,4.852,4.622,5.744,5.058,5.464,4.809,5.956,5.463,,5.093,5.344,5.765,5.104,4.906,5.391,6.031,6.539,4.5,4.707,5.235,5.073,5.537,5.076,6.278,6.015,5.246,4.447,5.169,7.151,6.435,5.206,5.096,6.149,5.986,6.942,7.841,5.263,4.304,4.634,4.127,4.97,5.296,4.269,3.51,4.51,5.294,,5.426,5.246
,14,,5.884,4.778,4.545,5.618,4.934,5.357,4.679,5.794,5.389,4.434,5,5.244,5.639,4.986,4.775,5.252,5.936,6.393,4.396,4.593,5.106,4.944,5.461,4.943,6.139,5.893,5.106,4.337,5.053,6.95,6.332,5.083,4.935,5.992,5.875,6.816,7.675,5.071,4.151,4.464,4.035,4.844,5.185,4.202,3.452,4.338,5.131,,5.277,5.106
,15,,5.758,4.709,4.459,5.496,4.836,5.221,4.552,5.6,5.308,4.412,4.884,5.132,5.502,4.88,4.662,5.124,5.836,6.249,4.297,4.495,4.978,4.831,5.389,4.824,6.02,5.781,4.964,4.24,4.922,6.76,6.198,4.963,4.766,5.849,5.757,6.68,7.507,4.91,3.993,4.32,3.949,4.719,5.06,4.128,3.392,4.185,4.935,,5.16,4.971
,16,,5.631,4.626,4.395,5.417,4.724,4.989,4.434,5.399,5.19,4.374,4.766,5.019,5.388,4.784,4.546,5.01,5.737,6.108,4.202,4.409,4.842,4.728,5.32,4.728,5.909,5.7,4.788,4.153,4.807,6.576,6.06,4.835,4.589,5.721,5.641,6.528,7.348,4.762,3.85,4.191,3.879,4.605,4.938,4.045,3.318,4.043,4.761,,5.045,4.838
,17,,5.471,4.557,4.287,5.314,4.638,4.834,4.309,5.243,5.097,4.334,4.652,4.887,5.283,4.687,4.422,4.908,5.639,5.985,4.107,4.329,4.725,4.641,5.236,4.622,5.798,5.633,4.596,4.074,4.69,6.373,5.901,4.719,4.433,5.598,5.535,6.376,7.193,4.59,3.734,4.074,3.811,4.504,4.826,3.963,3.244,3.887,4.599,,4.932,4.722
,18,,5.392,4.494,4.18,5.224,4.552,4.633,4.218,5.072,5.014,4.256,4.552,4.725,5.181,4.595,4.298,4.818,5.537,5.881,4.017,4.254,4.623,4.567,5.165,4.514,5.719,5.556,4.436,3.988,4.552,6.18,5.734,4.627,4.28,5.466,5.444,6.208,7.024,4.422,3.609,3.972,3.742,4.408,4.702,3.871,3.168,3.726,4.432,,4.822,4.625
,19,,5.306,4.436,4.11,5.153,4.472,4.378,4.117,4.968,4.9,4.175,4.45,4.567,5.09,4.499,4.182,4.747,5.441,5.776,3.943,4.181,4.525,4.49,5.094,4.417,5.634,5.479,4.315,3.889,4.407,6.021,5.548,4.539,4.085,5.356,5.356,6.04,6.824,4.288,3.483,3.875,3.679,4.319,4.57,3.752,3.094,3.609,4.276,,4.717,4.512
,20,,5.199,4.369,4.022,5.036,4.389,4.251,4.011,4.845,4.823,4.099,4.357,4.425,5.021,4.406,4.074,4.672,5.337,5.644,3.861,4.11,4.438,4.413,5.028,4.341,5.528,5.376,4.214,3.788,4.27,5.871,5.391,4.47,3.901,5.255,5.275,5.879,6.558,4.159,3.38,3.785,3.619,4.234,4.464,3.656,3.019,3.498,4.171,,4.617,4.419
,21,,5.108,4.285,3.961,4.923,4.329,4.113,3.917,4.738,4.758,4.024,4.27,4.294,4.938,4.327,3.979,4.573,5.243,5.518,3.787,4.046,4.357,4.334,4.957,4.247,5.423,5.263,4.135,3.698,4.131,5.735,5.228,4.407,3.765,5.143,5.181,5.74,6.287,4.044,3.3,3.666,3.554,4.157,4.342,3.565,2.959,3.385,4.096,,4.522,4.332
,22,,4.942,4.217,3.905,4.791,4.262,3.969,3.828,4.642,4.647,3.935,4.181,4.184,4.842,4.25,3.884,4.479,5.155,5.383,3.715,3.992,4.275,4.25,4.891,4.163,5.309,5.145,4.065,3.606,4.025,5.611,5.073,4.361,3.623,5.041,5.093,5.634,6.006,3.942,3.216,3.557,3.485,4.075,4.22,3.484,2.903,3.296,4.008,,4.427,4.256
,23,,4.797,4.14,3.852,4.664,4.195,3.838,3.723,4.544,4.547,3.857,4.078,4.105,4.758,4.162,3.793,4.39,5.069,5.225,3.636,3.935,4.199,4.159,4.822,4.096,5.177,5.051,4.006,3.529,3.929,5.479,4.914,4.313,3.491,4.953,5.006,5.55,5.739,3.835,3.131,3.457,3.421,4.01,4.126,3.407,2.845,3.207,3.94,,4.335,4.178
,24,,4.664,4.051,3.792,4.536,4.136,3.722,3.65,4.437,4.463,3.778,3.976,4.049,4.686,4.104,3.697,4.297,4.978,5.077,3.565,3.866,4.131,4.078,4.735,4.024,5.047,4.942,3.931,3.459,3.846,5.353,4.761,4.26,3.414,4.862,4.921,5.46,5.481,3.752,3.052,3.349,3.361,3.944,4.03,3.338,2.776,3.123,3.885,,4.246,4.117
,25,,4.503,3.967,3.761,4.404,4.068,3.584,3.577,4.356,4.36,3.689,3.899,3.982,4.606,4.025,3.614,4.209,4.9,4.934,3.492,3.809,4.058,3.994,4.656,3.928,4.936,4.853,3.858,3.395,3.768,5.246,4.6,4.201,3.352,4.764,4.831,5.368,5.301,3.685,2.966,3.249,3.302,3.892,3.918,3.26,2.714,3.051,3.81,,4.159,4.042
,26,,4.397,3.893,3.722,4.302,3.997,3.531,3.519,4.272,4.285,3.611,3.827,3.914,4.546,3.929,3.537,4.122,4.822,4.796,3.421,3.759,3.991,3.905,4.595,3.852,4.823,4.778,3.774,3.323,3.696,5.125,4.455,4.146,3.285,4.676,4.774,5.266,5.134,3.616,2.872,3.171,3.247,3.826,3.825,3.191,2.645,2.987,3.718,,4.079,3.96
,27,,4.291,3.817,3.66,4.19,3.955,3.456,3.454,4.196,4.214,3.566,3.764,3.848,4.474,3.846,3.475,4.042,4.738,4.667,3.349,3.701,3.935,3.814,4.533,3.782,4.717,4.72,3.691,3.263,3.613,5.001,4.322,4.071,3.236,4.599,4.694,5.143,5.004,3.552,2.794,3.094,3.196,3.757,3.742,3.11,2.564,2.904,3.635,,4.002,3.891
,28,,4.195,3.733,3.617,4.136,3.902,3.393,3.437,4.12,4.152,3.522,3.714,3.793,4.401,3.773,3.403,3.975,4.654,4.561,3.283,3.649,3.884,3.738,4.488,3.716,4.628,4.647,3.618,3.203,3.553,4.873,4.203,3.984,3.195,4.535,4.62,5.014,4.883,3.5,2.72,3.026,3.156,3.69,3.665,3.043,2.483,2.836,3.54,,3.934,3.838
,29,,4.094,3.659,3.581,4.063,3.875,3.344,3.404,4.021,4.081,3.473,3.661,3.727,4.328,3.69,3.329,3.899,4.575,4.447,3.217,3.612,3.835,3.663,4.441,3.659,4.543,4.57,3.566,3.143,3.495,4.751,4.097,3.9,3.145,4.474,4.554,4.901,4.782,3.456,2.65,2.968,3.108,3.621,3.606,2.986,2.423,2.755,3.441,,3.866,3.781
,30,,4.029,3.589,3.522,3.975,3.847,3.287,3.348,3.935,4.014,3.424,3.601,3.687,4.249,3.627,3.25,3.815,4.501,4.345,3.164,3.571,3.788,3.602,4.396,3.604,4.462,4.484,3.511,3.086,3.438,4.622,3.993,3.82,3.108,4.421,4.488,4.805,4.698,3.391,2.602,2.911,3.066,3.556,3.552,2.939,2.354,2.663,3.331,,3.799,3.737
,31,,3.951,3.558,3.485,3.914,3.776,3.219,3.321,3.858,3.953,3.371,3.547,3.647,4.161,3.573,3.154,3.752,4.422,4.225,3.114,3.524,3.746,3.543,4.338,3.547,4.398,4.395,3.467,3.034,3.378,4.52,3.906,3.751,3.073,4.369,4.408,4.715,4.63,3.327,2.566,2.862,3.028,3.507,3.49,2.891,2.299,2.577,3.231,,3.735,3.696
February,1,,3.869,3.505,3.46,3.826,3.728,3.159,3.267,3.764,3.892,3.315,3.498,3.597,4.092,3.516,3.07,3.676,4.337,4.086,3.079,3.477,3.7,3.5,4.277,3.498,4.332,4.287,3.418,2.984,3.32,4.423,3.812,3.681,3.032,4.321,4.341,4.639,4.571,3.278,2.53,2.801,2.99,3.461,3.45,2.856,2.258,2.503,3.131,,3.669,3.636
,2,,3.801,3.455,3.406,3.725,3.677,3.106,3.197,3.712,3.824,3.263,3.445,3.546,4.027,3.468,3.003,3.601,4.251,3.929,3.051,3.424,3.657,3.464,4.202,3.449,4.265,4.198,3.355,2.929,3.267,4.341,3.728,3.621,2.989,4.268,4.273,4.576,4.504,3.223,2.503,2.736,2.959,3.412,3.388,2.817,2.23,2.44,3.031,,3.604,3.574
,3,,3.706,3.426,3.354,3.668,3.603,3.064,3.17,3.655,3.757,3.222,3.409,3.501,3.952,3.421,2.944,3.54,4.167,3.779,3.015,3.378,3.602,3.423,4.139,3.392,4.2,4.126,3.283,2.88,3.215,4.256,3.636,3.575,2.939,4.218,4.207,4.521,4.442,3.158,2.482,2.673,2.942,3.362,3.315,2.769,2.192,2.383,2.925,,3.544,3.521
,4,,3.61,3.357,3.307,3.603,3.543,3.011,3.138,3.613,3.696,3.179,3.37,3.448,3.89,3.373,2.885,3.488,4.082,3.645,2.965,3.324,3.543,3.356,4.067,3.353,4.138,4.063,3.223,2.844,3.172,4.189,3.561,3.53,2.883,4.168,4.149,4.453,4.38,3.104,2.462,2.616,2.926,3.324,3.246,2.713,2.158,2.347,2.84,,3.487,3.468
,5,,3.529,3.287,3.256,3.528,3.498,3.001,3.09,3.567,3.632,3.151,3.339,3.394,3.82,3.307,2.834,3.429,3.994,3.541,2.921,3.283,3.478,3.278,4,3.324,4.075,4.008,3.174,2.815,3.134,4.121,3.464,3.479,2.831,4.123,4.088,4.39,4.291,3.051,2.438,2.561,2.907,3.275,3.189,2.662,2.121,2.329,2.74,,3.431,3.412
,6,,3.442,3.232,3.208,3.467,3.427,2.983,3.055,3.521,3.563,3.13,3.303,3.35,3.726,3.255,2.774,3.387,3.942,3.461,2.872,3.255,3.408,3.201,3.922,3.289,4.027,3.971,3.142,2.792,3.108,4.068,3.376,3.431,2.781,4.068,4.032,4.333,4.202,2.998,2.418,2.508,2.888,3.227,3.128,2.599,2.093,2.31,2.647,,3.38,3.363
,7,,3.403,3.171,3.163,3.416,3.354,2.947,2.999,3.478,3.508,3.108,3.272,3.294,3.63,3.214,2.71,3.343,3.88,3.388,2.783,3.232,3.323,3.117,3.844,3.254,3.983,3.929,3.111,2.785,3.069,4.033,3.299,3.371,2.733,4.007,3.983,4.274,4.119,2.957,2.412,2.461,2.866,3.178,3.075,2.537,2.059,2.278,2.551,,3.328,3.296
,8,,3.346,3.117,3.087,3.347,3.31,2.929,2.941,3.425,3.45,3.08,3.231,3.236,3.551,3.161,2.661,3.306,3.818,3.33,2.702,3.206,3.246,3.05,3.788,3.212,3.941,3.885,3.082,2.779,3.032,4.002,3.24,3.306,2.695,3.951,3.943,4.193,4.04,2.913,2.413,2.428,2.848,3.144,3.059,2.471,2.028,2.259,2.451,,3.278,3.238
,9,,3.302,3.066,3.023,3.293,3.254,2.885,2.908,3.374,3.397,3.058,3.19,3.188,3.471,3.107,2.607,3.268,3.751,3.277,2.636,3.182,3.191,3,3.744,3.163,3.904,3.838,3.047,2.762,3.002,3.964,3.187,3.25,2.664,3.889,3.914,4.115,3.958,2.876,2.403,2.389,2.828,3.1,3.036,2.409,2.011,2.228,2.359,,3.231,3.189
,10,,3.269,3.02,2.975,3.251,3.188,2.836,2.865,3.334,3.344,3.027,3.139,3.146,3.401,3.068,2.559,3.238,3.69,3.214,2.572,3.143,3.126,2.971,3.706,3.119,3.871,3.775,3.018,2.732,2.971,3.935,3.137,3.199,2.627,3.811,3.892,4.031,3.889,2.844,2.387,2.347,2.808,3.063,3.002,2.354,1.982,2.182,2.283,,3.185,3.141
,11,,3.194,2.969,2.907,3.191,3.139,2.778,2.835,3.287,3.325,2.985,3.084,3.11,3.358,3.028,2.514,3.2,3.617,3.171,2.515,3.109,3.067,2.941,3.678,3.077,3.833,3.71,2.993,2.701,2.932,3.906,3.097,3.148,2.594,3.748,3.873,3.946,3.817,2.815,2.369,2.332,2.793,3.03,2.964,2.305,1.958,2.149,2.211,,3.141,3.103
,12,,3.128,2.949,2.878,3.128,3.097,2.729,2.808,3.269,3.288,2.95,3.011,3.081,3.32,2.976,2.476,3.162,3.565,3.129,2.489,3.071,3.021,2.912,3.657,3.022,3.794,3.643,2.969,2.678,2.908,3.855,3.052,3.101,2.577,3.706,3.855,3.861,3.759,2.784,2.332,2.32,2.756,3.003,2.932,2.261,1.93,2.12,2.154,,3.101,3.062
,13,,3.101,2.919,2.849,3.094,3.036,2.699,2.776,3.244,3.261,2.92,2.956,3.059,3.275,2.928,2.44,3.128,3.512,3.087,2.471,3.026,2.974,2.861,3.621,2.982,3.769,3.589,2.945,2.669,2.883,3.823,3.007,3.055,2.558,3.667,3.824,3.805,3.715,2.759,2.298,2.296,2.715,2.972,2.88,2.235,1.907,2.094,2.122,,3.065,3.016
,14,,3.046,2.843,2.821,3.049,3.031,2.651,2.742,3.209,3.247,2.892,2.904,3.032,3.227,2.889,2.414,3.105,3.463,3.04,2.455,2.997,2.918,2.814,3.586,2.945,3.74,3.545,2.929,2.658,2.855,3.798,2.949,3.008,2.529,3.633,3.797,3.752,3.677,2.732,2.272,2.286,2.677,2.937,2.825,2.215,1.888,2.073,2.098,,3.03,2.973
,15,,3.002,2.8,2.792,3.021,3.019,2.626,2.725,3.186,3.191,2.871,2.851,3.008,3.184,2.847,2.383,3.097,3.429,2.981,2.434,2.978,2.878,2.768,3.544,2.89,3.718,3.52,2.908,2.647,2.837,3.768,2.898,2.956,2.502,3.609,3.776,3.707,3.662,2.701,2.269,2.287,2.644,2.901,2.787,2.176,1.875,2.054,2.076,,2.998,2.932
,16,,2.982,2.758,2.763,2.995,2.986,2.608,2.701,3.141,3.143,2.848,2.808,2.984,3.146,2.803,2.363,3.099,3.411,2.921,2.405,2.941,2.839,2.727,3.52,2.836,3.712,3.491,2.882,2.634,2.814,3.749,2.862,2.91,2.472,3.562,3.752,3.674,3.647,2.673,2.269,2.264,2.603,2.865,2.754,2.14,1.875,2.035,2.067,,2.968,2.896
,17,,2.959,2.683,2.735,2.968,2.972,2.606,2.697,3.095,3.131,2.824,2.783,2.964,3.118,2.761,2.346,3.106,3.386,2.881,2.38,2.913,2.802,2.71,3.499,2.809,3.695,3.451,2.864,2.613,2.787,3.779,2.832,2.884,2.436,3.497,3.728,3.651,3.629,2.649,2.28,2.244,2.587,2.826,2.737,2.113,1.861,2.018,2.07,,2.946,2.872
,18,,2.913,2.665,2.725,2.938,2.958,2.589,2.691,3.099,3.092,2.799,2.758,2.951,3.102,2.719,2.329,3.11,3.379,2.837,2.368,2.894,2.779,2.681,3.485,2.776,3.682,3.42,2.846,2.581,2.783,3.791,2.804,2.868,2.402,3.431,3.722,3.632,3.605,2.636,2.275,2.235,2.58,2.788,2.719,2.081,1.846,1.999,2.07,,2.928,2.841
,19,,2.925,2.652,2.706,2.95,2.926,2.577,2.661,3.079,3.078,2.787,2.741,2.931,3.074,2.673,2.312,3.111,3.388,2.784,2.347,2.867,2.763,2.658,3.467,2.755,3.669,3.379,2.84,2.554,2.766,3.795,2.784,2.862,2.383,3.366,3.707,3.616,3.596,2.632,2.27,2.223,2.57,2.76,2.721,2.051,1.821,1.989,2.073,,2.909,2.813
,20,,2.93,2.632,2.702,2.943,2.94,2.577,2.646,3.066,3.078,2.786,2.731,2.919,3.033,2.639,2.319,3.105,3.394,2.758,2.335,2.849,2.743,2.652,3.464,2.739,3.66,3.336,2.843,2.533,2.751,3.783,2.773,2.858,2.367,3.305,3.698,3.607,3.587,2.65,2.252,2.218,2.561,2.749,2.72,2.029,1.812,1.985,2.067,,2.898,2.814
,21,,2.935,2.61,2.699,2.925,2.949,2.564,2.664,3.074,3.055,2.78,2.731,2.899,2.974,2.598,2.328,3.101,3.389,2.736,2.327,2.842,2.749,2.662,3.463,2.734,3.651,3.321,2.854,2.523,2.754,3.781,2.749,2.874,2.356,3.265,3.694,3.589,3.594,2.673,2.238,2.215,2.551,2.742,2.72,2.015,1.788,1.986,2.05,,2.892,2.811
,22,,2.947,2.61,2.71,2.932,2.928,2.546,2.65,3.047,3.03,2.776,2.751,2.87,2.908,2.561,2.328,3.103,3.398,2.706,2.324,2.839,2.743,2.688,3.468,2.724,3.665,3.32,2.863,2.519,2.757,3.761,2.726,2.897,2.346,3.231,3.705,3.575,3.613,2.695,2.221,2.218,2.531,2.74,2.706,1.993,1.792,1.991,2.031,,2.885,2.808
,23,,2.94,2.6,2.712,2.918,2.926,2.545,2.668,3.017,3.045,2.78,2.774,2.84,2.833,2.535,2.343,3.101,3.39,2.684,2.309,2.832,2.736,2.759,3.466,2.731,3.681,3.312,2.879,2.52,2.749,3.757,2.716,2.935,2.341,3.19,3.711,3.562,3.635,2.715,2.21,2.224,2.505,2.749,2.706,1.989,1.8,2.001,2.028,,2.883,2.806
,24,,2.935,2.594,2.722,2.89,2.898,2.541,2.701,3.014,3.043,2.753,2.802,2.826,2.777,2.529,2.362,3.101,3.373,2.666,2.307,2.823,2.729,2.814,3.481,2.726,3.694,3.33,2.886,2.527,2.758,3.773,2.705,2.97,2.343,3.165,3.728,3.561,3.64,2.731,2.2,2.227,2.493,2.757,2.702,1.979,1.812,2.018,2.019,,2.884,2.808
,25,,2.955,2.596,2.736,2.919,2.864,2.517,2.762,3,3.032,2.724,2.837,2.812,2.725,2.523,2.376,3.103,3.365,2.648,2.301,2.811,2.734,2.854,3.503,2.756,3.694,3.356,2.889,2.545,2.775,3.81,2.719,3.009,2.339,3.172,3.747,3.574,3.639,2.739,2.186,2.224,2.479,2.755,2.715,1.976,1.815,2.046,2.014,,2.89,2.811
,26,,2.96,2.571,2.769,2.933,2.872,2.506,2.794,3.003,3.043,2.706,2.871,2.816,2.678,2.523,2.37,3.114,3.356,2.632,2.3,2.799,2.723,2.887,3.535,2.783,3.694,3.375,2.888,2.566,2.812,3.857,2.751,3.062,2.346,3.19,3.756,3.594,3.639,2.736,2.17,2.231,2.474,2.754,2.752,1.979,1.82,2.088,2.015,,2.901,2.814
,27,,3.012,2.552,2.788,2.959,2.865,2.465,2.847,3.009,3.077,2.697,2.901,2.831,2.636,2.545,2.38,3.131,3.365,2.629,2.29,2.795,2.733,2.895,3.582,2.82,3.686,3.398,2.923,2.58,2.862,3.886,2.802,3.091,2.361,3.197,3.765,3.622,3.64,2.736,2.151,2.252,2.469,2.752,2.812,1.981,1.828,2.142,2.008,,2.916,2.854
,28,,3.056,2.572,2.791,2.994,2.894,2.425,2.92,3.002,3.078,2.694,2.931,2.853,2.605,2.573,2.387,3.174,3.407,2.652,2.296,2.79,2.741,2.894,3.641,2.865,3.669,3.436,2.955,2.601,2.916,3.912,2.859,3.11,2.386,3.22,3.795,3.652,3.652,2.733,2.142,2.278,2.462,2.751,2.881,1.982,1.831,2.197,2.001,,2.935,2.894
,29,,,2.567,,,,2.456,,,,2.714,,,,2.582,,,,2.688,,,,2.906,,,,3.467,,,,3.946,,,,3.238,,,,2.744,,,,2.745,,,,2.253,,,2.966,2.714
March,1,,3.12,2.57,2.815,3.012,2.919,2.45,2.96,2.999,3.118,2.728,2.967,2.871,2.58,2.606,2.391,3.228,3.465,2.733,2.312,2.795,2.752,2.931,3.694,2.923,3.658,3.51,2.993,2.603,2.974,3.991,2.935,3.125,2.419,3.246,3.816,3.682,3.682,2.757,2.124,2.306,2.46,2.743,2.981,1.994,1.847,2.312,1.984,,2.968,2.933
,2,,3.182,2.595,2.785,3.029,2.992,2.533,2.996,2.993,3.172,2.754,3.006,2.891,2.573,2.654,2.388,3.298,3.52,2.799,2.349,2.803,2.774,2.956,3.748,2.969,3.656,3.557,3.049,2.612,3.025,4.03,3.024,3.147,2.453,3.259,3.865,3.711,3.709,2.782,2.121,2.335,2.472,2.742,3.095,2.012,1.868,2.357,1.994,,3.003,2.992
,3,,3.148,2.621,2.761,3.069,3.044,2.609,3.017,2.984,3.202,2.792,3.048,2.913,2.586,2.694,2.391,3.375,3.587,2.881,2.391,2.824,2.789,3.007,3.79,3.024,3.65,3.623,3.111,2.605,3.078,4.095,3.114,3.146,2.492,3.297,3.941,3.747,3.744,2.823,2.11,2.377,2.484,2.751,3.219,2.031,1.879,2.395,2.007,,3.04,3.021
,4,,3.163,2.624,2.76,3.098,3.129,2.702,3.048,2.995,3.231,2.849,3.101,2.944,2.611,2.734,2.39,3.451,3.647,2.94,2.451,2.858,2.792,3.078,3.82,3.075,3.663,3.668,3.153,2.59,3.131,4.173,3.209,3.164,2.531,3.348,4.013,3.791,3.788,2.869,2.115,2.409,2.511,2.771,3.352,2.067,1.887,2.443,2.038,,3.082,3.077
,5,,3.185,2.696,2.742,3.156,3.218,2.795,3.114,2.999,3.283,2.924,3.163,2.99,2.633,2.78,2.377,3.518,3.703,3,2.52,2.905,2.811,3.159,3.859,3.105,3.677,3.721,3.198,2.577,3.167,4.244,3.301,3.202,2.565,3.413,4.076,3.85,3.837,2.912,2.12,2.443,2.545,2.82,3.48,2.11,1.905,2.508,2.05,,3.128,3.135
,6,,3.154,2.756,2.746,3.21,3.273,2.878,3.151,2.984,3.325,3,3.222,3.039,2.662,2.807,2.384,3.577,3.761,3.079,2.579,2.964,2.844,3.229,3.908,3.147,3.698,3.773,3.241,2.589,3.202,4.318,3.39,3.253,2.598,3.476,4.154,3.928,3.888,2.959,2.139,2.483,2.572,2.892,3.599,2.147,1.931,2.572,2.089,,3.174,3.176
,7,,3.205,2.818,2.757,3.239,3.34,2.966,3.173,2.985,3.398,3.077,3.283,3.087,2.693,2.831,2.416,3.614,3.818,3.157,2.633,3.034,2.879,3.313,3.967,3.189,3.724,3.813,3.302,2.6,3.242,4.385,3.467,3.303,2.651,3.542,4.221,3.991,3.952,3.007,2.148,2.544,2.589,2.98,3.703,2.193,1.97,2.649,2.124,,3.223,3.214
,8,,3.268,2.891,2.792,3.285,3.384,3.014,3.232,3.005,3.465,3.144,3.344,3.135,2.736,2.849,2.467,3.654,3.879,3.237,2.691,3.117,2.908,3.39,4.039,3.222,3.756,3.846,3.373,2.629,3.284,4.44,3.553,3.375,2.718,3.623,4.287,4.064,4.013,3.051,2.178,2.61,2.612,3.086,3.795,2.242,2.037,2.732,2.163,,3.275,3.26
